Area,Latitude,Longitude
"Mumbai, Amboli",19.125800,72.844800
"Mumbai, Chakala, Andheri",19.109800,72.858300
"Mumbai, D.N. Nagar",19.122900,72.830100
"Mumbai, Four Bungalows",19.124700,72.826400
"Mumbai, Lokhandwala",19.143600,72.824600
"Mumbai, Marol",19.117300,72.884000
"Mumbai, Sahar",19.076000,72.877700
"Mumbai, Seven Bungalows",19.129100,72.819800
"Mumbai, Versova",19.135100,72.814600
"Mumbai, Mira Road",19.285600,72.869100
"Mumbai, Bhayandar",19.295233,72.854393
"Mumbai, Uttan",19.268300,72.810200
"Mumbai, Bandstand Promenade",19.053700,72.827200
"Mumbai, Kherwadi",19.058700,72.844400
"Mumbai, Pali Hill",19.067400,72.826200
"Mumbai, I.C. Colony",19.247700,72.850100
"Mumbai, Gorai",19.232700,72.786700
"Mumbai, Dahisar",19.249400,72.859600
"Mumbai, Aarey Milk Colony",19.151000,72.883100
"Mumbai, Bangur Nagar",19.165500,72.832300
"Mumbai, Jogeshwari West",19.143900,72.842800
"Mumbai, Juhu",19.107500,72.826300
"Mumbai, Charkop",19.210000,72.818300
"Mumbai, Poisar",19.215600,19.215600
"Mumbai, Mahavir Nagar",19.215000,72.846400
"Mumbai, Thakur village",19.210800,72.874700
"Mumbai, Pali Naka",19.062800,72.829100
"Mumbai, Khar Danda",19.078800,72.826400
"Mumbai, Dindoshi",19.176200,72.861700
"Mumbai, Sunder Nagar",19.175800,72.841900
"Mumbai, Kalina",19.076300,72.865400
"Mumbai, Naigaon",19.011000,72.846400
"Mumbai, Nalasopara",19.419500,72.806500
"Mumbai, Irla",19.108400,72.843400
"Mumbai, Vile Parle",19.096800,72.851700
"Mumbai, Bhandup",19.151100,72.937200
"Mumbai, Amrut Nagar",19.102100,72.912800
"Mumbai, Asalfa",19.101400,72.896200
"Mumbai, Pant Nagar",19.084500,72.910500
"Mumbai, Kanjurmarg",19.129400,72.933000
"Mumbai, Nehru Nagar",19.064000,72.882600
"Mumbai, Nahur",19.155300,72.943800
"Mumbai, Chandivali",19.107500,72.901800
"Mumbai, Hiranandani Gardens",19.115400,72.909100
"Mumbai, Indian Institute of Technology Bombay campus",19.133400,72.913300
"Mumbai, Vidyavihar",19.079800,72.897300
"Mumbai, Vikhroli",19.114200,72.935800
"Mumbai, Chembur",19.052200,72.900500
"Mumbai, Deonar",19.044700,72.910300
"Mumbai, Mankhurd",19.051300,72.936800
"Mumbai, Mahul",19.014400,72.896100
"Mumbai, Agripada",18.977700,72.827300
"Mumbai, Altamount Road",18.967600,72.814100
"Mumbai, Bhuleshwar",18.956200,72.829600
"Mumbai, Breach Candy",18.974600,72.806500
"Mumbai, Carmichael Road",18.974500,72.811000
"Mumbai, Cavel",18.949700,72.827300
"Mumbai, Churchgate",18.932200,72.826400
"Mumbai, Cotton Green",18.992100,72.846600
"Mumbai, Cuffe Parade",18.912700,72.821300
"Mumbai, Cumbala Hill",18.971900,72.805000
"Mumbai, Currey Road",18.995000,72.832800
"Mumbai, Dhobitalao",18.943600,72.833100
"Mumbai, Dongri",18.959800,72.837800
"Mumbai, Kala Ghoda",18.930700,72.833100
"Mumbai, Kemps Corner",18.962900,72.805400
"Mumbai, Lower Parel",18.997700,72.837600
"Mumbai, Mahalaxmi",18.986500,72.818300
"Mumbai, Mahim",19.035400,72.842300
"Mumbai, Malabar Hill",18.954800,72.798500
"Mumbai, Marine Drive",18.941482 ,72.823679
"Mumbai, Marine Lines",18.943100,72.827200
"Mumbai, Mumbai Central",18.969000,72.820500
"Mumbai, Nariman Point",18.925600,72.824200
"Mumbai, Prabhadevi",19.016300,72.829100
"Mumbai, Sion",19.039000,72.861900
"Mumbai, Walkeshwar",18.950800,72.802100
"Mumbai, Worli",18.998600,72.817400
"Mumbai, C.G.S. colony",19.027200,72.867100
"Mumbai, Dagdi Chawl",18.978000,72.828300
"Mumbai, Navy Nagar",18.898000,72.813100
"Mumbai, Hindu colony",19.019700,72.847900
"Mumbai, Ballard Estate",18.936200,72.838300
"Mumbai, Chira Bazaar",18.948100,72.827500
"Mumbai, Fanas Wadi",18.951700,72.825200
"Mumbai, Chor Bazaar",18.960500,72.825100
"Mumbai, Matunga",19.026900,72.855300
"Mumbai, Parel",18.997700,72.837600
"Mumbai, Gowalia Tank",18.962300,72.810100
"Mumbai, Dava Bazaar",18.941400,72.827800
"Mumbai, Dharavi",19.038000,72.853800
"Mumbai, Thane",19.218300,72.978100
